,TypeofContact,CityTier,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,customer_info,ProdTaken,age,duration
2476,Company Invited,2,Salaried,Male,3.0,3.0,Deluxe,3.0,3,0,2,Manager,329955.0,結婚済み 自家用車なし 子供1人,0,36,480.0
2477,Self Enquiry,1,Small Business,FEMALE,2.0,3.0,Super Deluxe,4.0,年に5回,0,4,AVP,511185.0,結婚済み/車未所持／わからない,0,58,1080.0
2478,Self Enquiry,1,Small Business,Female,3.0,2.0,Standard,3.0,年に3回,0,1,Senior Manager,417585.0,離婚済み、自動車所有、1児,0,35,960.0
2479,Company Invited,2,Salaried,male,2.0,3.0,STANDARD,3.0,5,0,3,Senior Manαger,507195.0,結婚済み、車所持、こども1人,0,40,840.0
2480,Self Enquiry,1,Salaried,Female,3.0,2.0,Deluxe,3.0,3,0,4,Manager,299670.0,結婚済み 自家用車あり 子供2人,0,48,840.0
2481,Self Enquiry,1,Large Business,Male,2.0,3.0,King,3.0,5,0,5,VP,468450.0,結婚済み、自家用車あり、無子,0,58,720.0
2482,Self Enquiry,2,Small Business,Male,3.0,3.0,King,3.0,2,0,2,VP,月収50.0万円,結婚済み、自家用車あり、子供2人,0,55,780.0
2483,Self Enquiry,3,Small Business,female,3.0,3.0,Deluxe,3.0,年に2回,0,2,Manager,322515.0,未婚、車所持、子供1人,0,35,1260.0
2484,Company Invited,2,Small Business,Male,3.0,3.0,Deluxe,3.0,5,0,2,Manager,300930.0,結婚済み　車未所持　子供なし,0,38,780.0
2485,Self Enquiry,2,Salaried,Male,3.0,3.0,King,4.0,2,0,2,VP,488985.0,離婚済み　車保有　子供無し,0,53,480.0
2486,Self Enquiry,2,Small Business,male,3.0,4.0,Basic,3.0,4,0,1,Executivе,月収30.0万円,離婚済み 車未所持 子供1人,0,37,420.0
2487,Self Enquiry,2,Small Business,Male,3.0,3.0,Deluxe,3.0,3,0,1,Manager,359130.0,未婚、自動車未所有、子供1人,0,46,1080.0
2488,Company Invited,2,Small Business,Male,3.0,4.0,SUPER DELUXE,3.0,5,0,2,AVP,529020.0,結婚済み	自動車未所有	こども1人,1,48,900.0
2489,Company Invited,3,Small Business,Male,3.0,4.0,Deluxe,3.0,3,0,1,Manager,340305.0,未婚/車所持/子供1人,0,30,600.0
2490,Company Invited,2,Salaried,Male,3.0,3.0,Super Deluxe,3.0,2,0,2,AVP,391095.0,独身	自動車所有	子供1人,0,39,840.0
2491,Company Invited,2,Small Business,female,3.0,4.0,Basic,3.0,2,0,1,Executive,316785.0,独身、自動車所有、子供なし,0,30,840.0
2492,Self Enquiry,2,Small Business,FEMALE,3.0,3.0,BASIC,3.0,5,0,1,Executive,267405.0,離婚済み　車未所持　子供無し,0,38,1380.0
2493,Self Enquiry,1,Small Business,Female,2.0,3.0,Super Deluxe,5.0,3,0,1,Executive,528900.0,結婚済み 自動車所有 子供なし,0,30,780.0
2494,Self Enquiry,2,Small Business,MALE,2.0,3.0,SUPER DELUXE,4.0,4,0,1,AVP,562635.0,結婚済み、車未所持、子供無し,0,47,540.0
2495,Self Enquiry,1,Small Business,Male,2.0,3.0,Super Deluxe,4.0,4,0,2,AVP,月収54.0万円,独身、乗用車所持、非育児家庭,0,42,1860.0
2496,Self Enquiry,1,Small Business,Ｆｅｍａｌｅ,2.0,5.0,Basic,3.0,7,0,3,Executive,262335.0,結婚済み 車未所持 子供1人,0,33,960.0
2497,Self Enquiry,1,Small Business,FEMALE,3.0,4.0,Basic,3.0,3,0,4,Executive,323355.0,"結婚済み,車未所持,こども2人",0,21,600.0
2498,Self Enquiry,3,Small Business,female,2.0,5.0,Deluxe,5.0,7,0,2,Manager,月収30.0万円,"結婚済み,車所持,子供1人",0,61,780.0
2499,Company Invited,2,Salaried,Female,2.0,4.0,Standard,4.0,2,0,2,Senior Manager,456990.0,結婚済み 自動車所有 子供1人,0,30,1380.0
2500,Company Invited,3,Small Business,Male,2.0,4.0,Deluxe,4.0,3,0,1,Manager,420120.0,"結婚済み,自動車所有,1児",0,34,1080.0
2501,Self Enquiry,2,Salaried,Male,3.0,4.0,Standard,5.0,7,0,2,Senior Manager,505050.0,結婚済み、自動車未所有、子供2人,0,30,720.0
2502,Company Invited,2,Salaried,Male,2.0,4.0,Standard,4.0,4,0,1,Senior Manager,415380.0,結婚済み、車所持、子供有り(1人),0,50,600.0
2503,Self Enquiry,2,Salaried,Male,3.0,4.0,Standard,4.0,年に2回,0,1,Senior Manager,352935.0,"結婚済み、自動車所有,こども2人",0,29,960.0
2504,Company Invited,2,Small Business,male,3.0,4.0,Super Ꭰeluxe,4.0,1,0,2,AVP,439080.0,離婚済み、車未所持、子供2人,0,40,840.0
2505,Self Enquiry,2,Small Business,male,3.0,4.0,Super Deluxe,4.0,1,0,1,AVP,552525.0,独身/車所持/子供2人,0,53,1080.0
2506,Company Invited,2,Large Business,female,2.0,4.0,Super Deluxe,4.0,2,0,2,AVP,431040.0,結婚済み、車所持、子供有り(1人),0,36,2040.0
2507,Self Enquiry,2,Small Business,male,2.0,4.0,Standard,4.0,5,0,2,Senior Manager,384585.0,結婚済み、車所持、子供1人,1,59,420.0
2508,Self Enquiry,2,Salaried,Male,3.0,4.0,Super Deluxe,4.0,年に7回,0,2,AVP,397665.0,離婚済み、自動車所有、こども2人,1,30,660.0
2509,Company Invited,3,Small Business,Fe Male,2.0,4.0,Deluxe,4.0,年に2回,0,2,Manager,371775.0,未婚、車保有なし、子供1人,0,33,1860.0
2510,Self Enquiry,2,Small Business,Male,2.0,4.0,Deluxe,4.0,5,0,1,Manager,339735.0,未婚 車未所持 こども1人,0,53,1620.0
2511,Self Enquiry,3,Small Business,female,3.0,4.0,Basic,4.0,3,0,1,Executive,321465.0,離婚済み、車保有なし、子供2人,0,36,840.0
2512,Company Invited,2,Large Business,Male,3.0,4.0,Basic,4.0,1,0,2,Executive,月収30.0万円,離婚済み、車未所持、子供有り(2人),0,32,960.0
2513,Company Invited,3,Small Business,Female,2.0,4.0,Deluxe,4.0,年に2回,0,1,Manager,340965.0,結婚済み、車所持、子供有り(1人),0,38,900.0
2514,Self Enquiry,2,Salaried,Male,2.0,5.0,Standard,4.0,2,0,1,Senior Manager,387975.0,結婚済み	自動車未所有	子供有り 1人,0,42,480.0
2515,Company Invited,2,Salaried,Male,3.0,4.0,Standard,4.0,5,0,2,Senior Manager,465195.0,離婚済み、自動車未所有、こども2人,0,57,780.0
2516,Self Enquiry,2,Salaried,Female,2.0,4.0,Standard,4.0,2,0,2,Senior Manager,363585.0,結婚済み、自動車未所有、1児,0,37,960.0
2517,Self Enquiry,2,Small Business,Female,3.0,4.0,super deluxe,5.0,7,0,2,AVP,537495.0,独身 車未所持 子供有り 2人,1,55,480.0
2518,Self Enquiry,3,Small Business,male,2.0,4.0,BASIC,4.0,3,0,2,Executive,月収32.0万円,"未婚,車未所持,こども1人",0,23,1020.0
2519,Company Invited,2,Salaried,Male,3.0,4.0,Deluxe,4.0,7,0,2,Manager,345825.0,離婚済み 車未所持 こども2人,0,35,420.0
2520,Company Invited,3,Small Business,MALE,2.0,4.0,Deluxe,4.0,2,0,2,Manager,338205.0,未婚　車所持 子供1人,0,35,780.0
2521,Self Enquiry,3,Salaried,male,3.0,4.0,Standard,4.0,2,0,2,Senior Manager,296820.0,"離婚済み,車所持,こども2人",1,54,420.0
2522,Self Enquiry,3,Small Business,Male,3.0,4.0,STANDARD,4.0,5,0,1,AVP,428730.0,離婚済み 乗用車なし こども2人,0,46,780.0
2523,Company Invited,2,Salaried,Male,3.0,4.0,Standard,5.0,2,0,2,Senior Manager,月収50.0万円,離婚済み、自家用車あり、子供2人,0,56,360.0
2524,Self Enquiry,2,Large Business,Fe Male,2.0,4.0,Standard,4.0,2,0,1,Senior Manager,388980.0,未婚　乗用車なし　子供1人,0,54,420.0
2525,Company Invited,2,Small Business,Female,2.0,4.0,Standard,4.0,2,0,2,Senior Manager,月収30.0万円,未婚 自家用車あり こども1人,0,30,1200.0
2526,Company Invited,2,Salaried,ＭＡＬＥ,2.0,4.0,Deluxe,5.0,7,0,2,Manager,357840.0,未婚 車未所持 子供1人,0,42,420.0
2527,Self Enquiry,2,Small Business,male,3.0,4.0,Super Deluxe,5.0,1,0,1,AVP,526350.0,離婚済み／車所持／子供2人,0,50,480.0
2528,Self Enquiry,2,Salaried,male,2.0,4.0,Deluxe,4.0,2,0,2,Manager,310995.0,離婚済み、車所持、こども1人,0,40,660.0
2529,Self Enquiry,3,Salaried,ＭＡＬＥ,3.0,4.0,Super Deluxe,4.0,7,0,1,AVP,532755.0,結婚済み/車所持/子供2人,0,60,960.0
2530,Self Enquiry,2,Small Business,Female,2.0,4.0,Deluxe,5.0,5,0,2,Manager,354660.0,離婚済み 車所持 子供1人,0,37,600.0
2531,Self Enquiry,2,Salaried,Ｆｅ　Ｍａｌｅ,2.0,5.0,Deluxe,4.0,2,0,2,Manager,330780.0,"未婚
自家用車なし
子供1人",0,45,1920.0
2532,Self Enquiry,2,Small Business,MALE,3.0,4.0,standard,5.0,4,0,1,Senior Manager,500130.0,未婚、車未所持、子供2人,0,40,780.0
2533,Self Enquiry,2,Salaried,MALE,3.0,4.0,STANDARD,4.0,年に2回,0,2,Senior Manager,368055.0,結婚済み／車所持／子供2人,0,40,420.0
2534,Company Invited,3,Small Business,Male,3.0,4.0,Basic,4.0,年に1回,0,2,Executive,月収27.0万円,"独身,車所持,子供2人",0,41,900.0
2535,Self Enquiry,2,Small Business,MALE,3.0,4.0,Standard,4.0,5,0,1,Senior Manager,389115.0,離婚済み 車所持 こども2人,0,28,900.0
2536,Company Invited,2,Small Business,Female,3.0,4.0,Deluxe,5.0,2,0,2,Μanagеr,384705.0,結婚済み 乗用車所持 子供2人,0,47,360.0
2537,Self Enquiry,2,Salaried,MALE,3.0,4.0,Standard,5.0,1,0,2,Senior Manager,451170.0,独身、車未所持、子供2人,0,55,420.0
2538,Self Enquiry,3,Small Business,male,3.0,4.0,Super Deluxe,5.0,3,0,1,AVP,447045.0,"離婚済み,車所持,子供2人",0,53,540.0
2539,Company Invited,2,Small Business,Ｍａｌｅ,3.0,4.0,standard,4.0,2,0,1,Senior Manager,480735.0,結婚済み	自動車未所有	子供2人,1,50,420.0
2540,Company Invited,2,Salaried,Male,3.0,4.0,Standard,4.0,年に2回,0,2,Senior Manager,245280.0,"結婚済み,自家用車あり,こども2人",0,27,360.0
2541,Self Enquiry,2,Salaried,Female,3.0,4.0,Basic,5.0,5,0,1,Executive,310080.0,離婚済み、自動車所有、こども2人,0,26,420.0
2542,Self Enquiry,2,Salaried,Ｍａｌｅ,3.0,4.0,Standard,5.0,2,0,2,Senior Manager,459225.0,"離婚済み,乗用車所持、子供2人",0,43,360.0
2543,Self Enquiry,2,Small Business,male,3.0,3.0,Basic,3.0,2,1,1,Executive,262365.0,離婚済み、車未所持、非育児家庭,1,18,1020.0
2545,Self Enquiry,2,Small Business,male,3.0,2.0,Standard,3.0,年に7回,0,1,Senior Manager,423180.0,結婚済み、車未所持、子供1人,0,30,960.0
2546,Company Invited,2,Small Business,female,3.0,3.0,Deluxe,3.0,4,1,2,Managеr,328230.0,離婚済み、車未所持、子供なし,0,55,540.0
2547,Self Enquiry,3,Small Business,Male,3.0,3.0,basic,3.0,3,0,1,Executive,358800.0,"離婚済み,車保有なし,子供1人",0,43,1200.0
2548,Self Enquiry,1,Small Business,Female,3.0,4.0,Basic,3.0,3,0,2,Executive,325125.0,離婚済み 自動車未所有 子供なし,0,26,840.0
2549,Self Enquiry,1,Small Business,Male,3.0,4.0,Basic,3.0,7,0,2,Executive,354825.0,離婚済み／車未所持／子供1人,1,43,900.0
2550,Self Enquiry,1,Small Business,Male,3.0,4.0,Basic,3.0,4,0,2,Executive,月収30.0万円,独身 自動車未所有 子供1人,1,52,720.0
2552,Company Invited,1,Large Business,Male,3.0,3.0,Basic,3.0,5,0,2,E×ecｕtive,月収31.0万円,"結婚済み、自動車未所有,子供1人",1,34,1140.0
2553,Self Enquiry,2,Salaried,MALE,3.0,4.0,Super Deluxe,4.0,5,1,2,AVP,457830.0,離婚済み	車所持	子供2人,0,44,360.0
2554,Company Invited,2,Small Business,MALE,3.0,4.0,Standard,4.0,2,1,2,Senior Manager,363810.0,結婚済み 車未所持 子供2人,1,36,780.0
2555,Company Invited,2,Salaried,Female,2.0,4.0,Standard,4.0,2,1,1,Senior Manager,415215.0,結婚済み 自動車未所有 こども1人,1,24,480.0
2556,Self Enquiry,2,Salaried,Male,3.0,4.0,Basic,4.0,年に7回,1,2,Executive,月収30.0万円,独身　車未所持　こども2人,1,37,1440.0
2558,Self Enquiry,2,Small Business,FEMALE,3.0,3.0,Deluxe,3.0,2,0,1,Manager,325110.0,独身/車未所持/2児,1,31,1920.0
2559,Self Enquiry,1,Large Business,Female,3.0,5.0,Standard,4.0,6,0,2,Senior Manager,374805.0,結婚済み、車未所持、子供2人,0,48,480.0
2560,Self Enquiry,1,Salaried,Male,3.0,4.0,Standard,4.0,3,0,1,Senior Manager,412425.0,結婚済み 乗用車所持 子供2人,0,52,780.0
2561,Company Invited,1,Small Business,Male,2.0,4.0,basic,4.0,3,0,2,Executiѵе,月収30.0万円,"独身,自動車未所有,子供1人",1,22,600.0
2562,Self Enquiry,1,Salaried,Female,3.0,4.0,Super Deluxe,5.0,5,0,1,AVP,月収50.0万円,離婚済み 乗用車なし　子供有り 2人,0,55,780.0
2563,Company Invited,1,Large Business,Male,3.0,4.0,BASIC,4.0,7,0,2,Executive,309330.0,独身/自家用車あり／子供2人,1,25,480.0
2564,Company Invited,1,Large Business,Male,3.0,4.0,Basic,4.0,7,0,2,Executiѵe,256500.0,未婚、車所持、子供有り 2人,1,33,540.0
2565,Self Enquiry,1,Salaried,Fe Male,3.0,4.0,Standard,4.0,年に5回,0,2,Senior Manager,月収40.0万円,未婚 車保有 こども2人,0,47,480.0
2566,Self Enquiry,1,Salaried,Male,3.0,4.0,Super Deluxe,5.0,7,0,2,AVP,477960.0,独身　車所持　こども2人,0,46,780.0
2567,Self Enquiry,1,Salaried,Male,3.0,4.0,standard,4.0,2,0,2,Senior Manager,268545.0,"離婚済み,自家用車あり、こども2人",0,38,840.0
2568,Self Enquiry,1,Salaried,Male,3.0,4.0,Standard,4.0,5,0,1,Senior Manager,371235.0,離婚済み、自動車未所有、子供有り(2人),0,53,360.0
2569,Self Enquiry,1,Salaried,FEMALE,3.0,4.0,Super Deluxe,4.0,1,0,2,AVP,535575.0,独身 車所持 子供2人,0,50,1980.0
2570,Self Enquiry,1,Small Business,male,3.0,4.0,Super Deluxe,4.0,2,0,2,AVP,月収42.0万円,離婚済み　車所持　こども2人,0,42,540.0
2571,Company Invited,1,Salaried,FE MALE,2.0,4.0,Standard,4.0,2,0,2,Senior Manager,442170.0,未婚、車所持、子供1人,0,49,360.0
2572,Self Enquiry,1,Small Business,MALE,2.0,4.0,Basic,4.0,2,0,2,Executive,256815.0,"離婚済み、車未所持,こども1人",1,25,480.0
2573,Company Invited,1,Salaried,Male,3.0,4.0,Standard,4.0,5,0,2,Senior Manager,388650.0,未婚、乗用車所持、子供2人,0,41,420.0
2574,Self Enquiry,1,Salaried,Fe Male,2.0,4.0,standard,4.0,2,0,2,Senior Manager,月収35.0万円,未婚、自動車未所有、こども1人,0,36,540.0
2575,Self Enquiry,1,Small Business,ＦＥＭＡＬＥ,2.0,4.0,BASIC,4.0,7,0,2,Executive,月収30.0万円,離婚済み 車未所持 子供1人,0,40,720.0
2576,Self Enquiry,1,Salaried,Male,2.0,4.0,standard,4.0,2,0,1,Senior Manager,月収30.0万円,結婚済み/自動車未所有/こども1人,0,51,240.0
2577,Company Invited,1,Salaried,Female,3.0,2.0,Deluxe,3.0,年に3回,0,1,Manager,461550.0,結婚済み、自動車所有、こども1人,0,49,540.0
2578,Company Invited,1,Small Business,Male,3.0,3.0,Basic,3.0,2,0,2,Executive,252270.0,"独身、自動車所有,子供なし",0,21,720.0
2579,Self Enquiry,1,Small Business,Ｆｅ　Ｍａｌｅ,3.0,4.0,Standard,4.0,2,1,2,Senior Manager,380520.0,未婚、車所持、子供2人,0,46,420.0
2580,Self Enquiry,2,Salaried,Male,3.0,3.0,Super Deluxe,3.0,5,0,1,Manager,410805.0,結婚済み、自動車未所有、こども2人,0,46,2100.0
2581,Company Invited,1,Small Business,Female,3.0,3.0,Standard,4.0,年に2回,0,5,Senior Manager,489690.0,結婚済み　自動車所有　子供無し,0,30,600.0
2582,Company Invited,1,Small Business,Male,3.0,3.0,Super Deluxe,5.0,1,0,4,AVP,月収40.0万円,結婚済み 車所持 子供ゼロ,0,60,840.0
2583,Self Enquiry,3,Small Business,male,3.0,3.0,deluxe,4.0,5,0,3,Manager,月収30.0万円,結婚済み 車所持 子供なし,0,43,900.0
2584,Company Invited,1,Salaried,Male,3.0,3.0,Standard,4.0,2,0,3,Senior Manager,422295.0,未婚/車所持／子供無し,0,55,780.0
2585,Self Enquiry,1,Small Business,Female,3.0,3.0,Basic,4.0,1,1,4,Executive,262785.0,結婚済み/自動車所有/子供なし,0,30,780.0
2586,Company Invited,1,Salaried,male,2.0,3.0,King,3.0,年に4回,0,5,VP,523935.0,結婚済み／車未所持／子供なし,0,30,960.0
2587,Company Invited,2,Small Business,FEMALE,3.0,3.0,Deluxe,3.0,1,0,3,Manager,313215.0,結婚済み	車所持	子供なし,0,34,960.0
2588,Company Invited,2,Small Business,Female,3.0,4.0,Standard,4.0,1,0,4,Sеnior Managеr,412905.0,未婚、車なし、2児,0,30,780.0
2589,Company Invited,3,Small Business,Male,3.0,4.0,Standard,4.0,2,0,3,Senior Manager,350535.0,結婚済み、自動車所有、こども2人,0,28,660.0
2590,Company Invited,2,Small Business,Ｍａｌｅ,3.0,4.0,Deluxe,4.0,7,0,3,Manager,月収33.0万円,未婚/車なし/子供2人,0,27,540.0
2591,Self Enquiry,3,Large Business,male,3.0,4.0,Standard,4.0,年に6回,0,3,Senior Manager,428670.0,未婚 車所持 子供2人,0,40,1320.0
2592,Self Enquiry,2,Small Business,Male,3.0,4.0,standard,4.0,6,0,4,VP,546660.0,結婚済み/自家用車あり/子供2人,0,45,540.0
2593,Self Enquiry,2,Small Business,male,3.0,4.0,Basic,5.0,年に7回,0,4,Executive,311385.0,未婚 自家用車なし 子供2人,0,34,960.0
2594,Company Invited,3,Salaried,Fe Male,3.0,4.0,standard,4.0,2,0,3,Senior Manager,501630.0,"未婚,自家用車なし,こども2人",0,39,360.0
2595,Self Enquiry,3,Salaried,fe male,3.0,4.0,standard,4.0,2,0,3,Senior Manager,月収40.0万円,離婚済み 車未所持 2児,0,35,900.0
2596,Self Enquiry,2,Salaried,fe male,3.0,4.0,Standard,4.0,5,0,4,Senior Manager,414870.0,結婚済み／車所持/こども2人,0,30,900.0
2597,Company Invited,2,Salaried,Female,1.0,300.0,basic,4.0,5,0,2,Executive,257085.0,離婚済み 自動車未所有 子供無し,1,30,540.0
2598,Company Invited,2,Small Business,male,3.0,4.0,Standard,4.0,3,1,3,Senior Manager,381495.0,"結婚済み,車所持,2児",0,47,720.0
2599,Company Invited,2,Salaried,Female,3.0,3.0,Deluxe,3.0,年に3回,0,3,Manager,317145.0,結婚済み、乗用車なし、無子,0,40,840.0
2600,Self Enquiry,1,Large Business,Male,3.0,4.0,Basic,3.0,5,0,4,Executive,255735.0,離婚済み 車所持 子供有り 1人,0,53,540.0
2601,Self Enquiry,1,Small Business,Male,3.0,4.0,Basic,3.0,2,0,3,Executive,272640.0,離婚済み　車なし　子供1人,1,37,840.0
2602,Self Enquiry,1,Small Business,Male,3.0,4.0,Basic,3.0,年に3回,0,4,Executive,305625.0,離婚済み	車所持	子供無し,0,24,900.0
2603,Company Invited,1,Small Business,FEMALE,3.0,3.0,Deluxe,3.0,3,0,4,Manager,303090.0,"離婚済み
車未所持
子供なし",0,38,780.0
2604,Self Enquiry,2,Small Business,MALE,3.0,4.0,super deluxe,4.0,2,0,3,AVP,396300.0,独身、車未所持、こども2人,0,23,960.0
2605,Self Enquiry,3,Small Business,male,2.0,3.0,Basic,4.0,2,0,3,Executive,253920.0,離婚済み、車所持、子供なし,0,20,660.0
2606,Company Invited,2,Small Business,Male,2.0,3.0,Basic,3.0,2,0,3,Executive,248595.0,離婚済み、自家用車なし、子供1人,1,29,840.0
2607,Company Invited,3,Small Business,Female,2.0,3.0,Basic,3.0,7,0,4,Executive,314805.0,未婚、車保有なし、こども1人,0,26,900.0
2609,Self Enquiry,2,Small Business,male,2.0,1.0,BASIC,4.0,2,0,3,Executive,252015.0,離婚済み、車未所持、子供なし,0,33,960.0
2610,Self Enquiry,3,Salaried,male,3.0,3.0,Super Deluxe,5.0,2,0,4,AVP,月収50.0万円,結婚済み 車所持 不明,0,40,660.0
2612,Company Invited,1,Small Business,Ｍａｌｅ,3.0,5.0,King,5.0,3,0,4,Executive,529395.0,結婚済み、自家用車なし、子供2人,0,39,1980.0
2613,Company Invited,2,Salaried,Male,2.0,2.0,standard,3.0,2,0,3,Senior Manager,381990.0,未婚、自動車所有、子供無し,0,34,900.0
2614,Self Enquiry,2,Salaried,Male,2.0,3.0,Basic,3.0,1,0,4,Executive,256965.0,"結婚済み,車未所持,子供1人",0,45,840.0
2615,Self Enquiry,2,Salaried,Female,2.0,1.0,Standard,3.0,3,0,3,Senior Manager,月収38.0万円,結婚済み、自動車所有、子供なし,0,31,900.0
2616,Self Enquiry,2,Salaried,Male,2.0,3.0,Deluxe,3.0,1,0,4,Manager,253485.0,"結婚済み,自動車未所有,子供無し",0,30,480.0
2617,Self Enquiry,2,Salaried,male,2.0,2.0,Deluxe,3.0,3,0,3,Manager,335730.0,未婚　車未所持　こども1人,0,49,2040.0
2618,Self Enquiry,1,Salaried,Male,3.0,4.0,super deluxe,4.0,5,0,3,AVP,月収50.0万円,未婚、自家用車なし、子供2人,0,48,1860.0
2619,Self Enquiry,1,Salaried,male,3.0,4.0,Standard,4.0,5,0,5,Senior Manager,364665.0,結婚済み、車所持、こども2人,1,54,540.0
2620,Self Enquiry,1,Small Business,Female,2.0,2.0,Basic,3.0,2,0,3,Executive,318510.0,結婚済み 車所持 子供ゼロ,0,28,960.0
2621,Company Invited,1,Small Business,MALE,2.0,3.0,Deluxe,3.0,年に1回,0,4,Manager,月収30.0万円,結婚済み 車所持 こども1人,0,47,780.0
2623,Self Enquiry,1,Large Business,male,2.0,2.0,Basic,4.0,7,0,4,Executive,315315.0,離婚済み 車未所持 1児,0,44,1380.0
2624,Self Enquiry,1,Small Business,Male,2.0,3.0,Deluxe,3.0,年に1回,0,5,Manager,303435.0,結婚済み	自動車所有	こども1人,0,41,1620.0
2625,Self Enquiry,1,Small Business,Female,2.0,3.0,Deluxe,3.0,5,0,4,Manager,295815.0,離婚済み、車所持、子供1人,0,42,780.0
2626,Self Enquiry,1,Salaried,Female,2.0,1.0,Basic,3.0,5,0,3,Executive,266310.0,結婚済み、自家用車あり、子供1人,0,36,900.0
2627,Company Invited,1,Salaried,Female,2.0,3.0,Basic,3.0,4,0,4,Executive,241905.0,離婚済み、車なし、子供なし,0,31,2040.0
2628,Self Enquiry,1,Small Business,Male,3.0,4.0,Basic,3.0,4,0,3,Executivе,473160.0,結婚済み	自家用車あり	1児,0,46,540.0
2629,Self Enquiry,2,Salaried,male,2.0,5.0,Basic,4.0,年に3回,0,2,Executive,261675.0,独身/車未所持/子供1人,1,38,1020.0
2630,Self Enquiry,2,Small Business,Female,2.0,5.0,standard,4.0,2,0,1,Senior Manager,358620.0,結婚済み、乗用車所持、子供1人,1,51,420.0
2631,Self Enquiry,2,Small Business,Male,2.0,5.0,standard,4.0,2,0,1,Senior Manager,月収39.0万円,結婚済み、自家用車なし、子供1人,0,51,480.0
2632,Self Enquiry,2,Small Business,male,2.0,5.0,standard,4.0,2,0,1,Senior Manager,456675.0,離婚済み、車所持、こども1人,0,34,1320.0
2633,Self Enquiry,2,Small Business,Male,2.0,5.0,standard,4.0,1,0,2,Senior Manager,402900.0,離婚済み 自動車所有 子供有り(1人),0,29,600.0
2634,Self Enquiry,3,Large Business,Female,3.0,5.0,Standard,4.0,2,0,1,Senior Manager,332850.0,結婚済み、車所持、こども2人,0,50,840.0
2635,Self Enquiry,2,Salaried,Female,2.0,5.0,Standard,4.0,2,0,1,Senior Manager,464310.0,結婚済み　自動車未所有　子供有り 1人,0,42,540.0
2636,Self Enquiry,3,Salaried,Male,3.0,5.0,Standard,4.0,2,0,2,Senior Manager,393990.0,結婚済み、自家用車あり、こども2人,0,30,720.0
2637,Self Enquiry,2,Large Business,Male,3.0,5.0,Standard,4.0,2,1,2,Տenior Manager,415770.0,未婚 自動車未所有 こども2人,0,32,720.0
2639,Self Enquiry,1,Salaried,Male,2.0,5.0,Basic,4.0,7,0,1,Executive,322275.0,"離婚済み,乗用車所持,子供有り 1人",0,34,600.0
2640,Company Invited,1,Large Business,Female,3.0,5.0,Basic,4.0,3,0,2,Executive,月収29.0万円,離婚済み、自動車所有、子供2人,0,20,1080.0
2641,Self Enquiry,1,Large Business,Male,3.0,5.0,Basic,5.0,7,0,2,Executive,325815.0,離婚済み、自動車未所有、子供2人,1,30,540.0
2642,Self Enquiry,1,Salaried,Male,2.0,5.0,Basic,5.0,2,0,1,Executive,258885.0,結婚済み、車あり、子供1人,0,20,960.0
2643,Self Enquiry,2,Large Business,male,3.0,4.0,Basic,4.0,年に2回,0,2,Executive,月収28.0万円,結婚済み、自動車未所有、子供1人,0,38,900.0
2644,Company Invited,2,Salaried,Male,3.0,3.0,deluxe,3.0,年に7回,0,2,Manager,271110.0,未婚、車所持、子供1人,0,39,600.0
2645,Self Enquiry,3,Small Business,male,3.0,4.0,basic,3.0,3,0,2,Manager,月収30.0万円,独身 自家用車なし 子供1人,0,21,1860.0
2646,Company Invited,3,Salaried,female,3.0,4.0,basic,4.0,7,0,2,Executive,月収36.0万円,離婚済み、車未所持、子供2人,0,60,780.0
2647,Self Enquiry,2,Salaried,Male,3.0,3.0,Deluxe,3.0,5,0,2,Manager,310110.0,離婚済み、自家用車なし、こども1人,0,34,960.0
2648,Company Invited,2,Small Business,female,3.0,4.0,Standard,3.0,3,0,1,Senior Manager,367950.0,未婚、自家用車なし、子供1人,0,34,540.0
2649,Self Enquiry,2,Small Business,male,3.0,4.0,Deluxe,3.0,5,0,1,Manager,336570.0,離婚済み、車未所持、子供1人,0,49,540.0
2650,Self Enquiry,2,Small Business,Ｍａｌｅ,3.0,3.0,Basic,3.0,2,0,2,Executive,348360.0,結婚済み、車未所持、子供1人,0,28,420.0
2651,Self Enquiry,2,Salaried,Ｍａｌｅ,3.0,3.0,Deluxe,3.0,2,0,2,Manager,316740.0,結婚済み 自動車未所有　子供1人,0,36,1380.0
2652,Self Enquiry,2,Salaried,Female,3.0,3.0,Deluxe,3.0,3,0,1,Manager,340740.0,離婚済み	車未所持	こども1人,0,30,900.0
2653,Self Enquiry,2,Small Business,Male,3.0,3.0,Deluxe,3.0,5,0,2,Manager,303885.0,結婚済み 車なし こども1人,0,34,780.0
2654,Self Enquiry,3,Salaried,fe male,3.0,3.0,Standard,3.0,2,0,1,Senior Manager,月収40.0万円,未婚／車未所持／子供2人,0,31,1260.0
2655,Company Invited,2,Small Business,male,3.0,3.0,Basic,3.0,2,0,2,Executive,月収26.0万円,結婚済み、車未所持、こども1人,0,43,660.0
2656,Self Enquiry,2,Salaried,Female,3.0,3.0,Standard,3.0,2,0,2,Senior Manager,月収40.0万円,"結婚済み,自家用車あり,こども1人",0,37,600.0
